"category","model","backbone","n_features","image_auroc","image_f1score"
"bottle","PatchCore","resnet18","","1.0","0.991999837875366"
"bottle","PatchCore","resnet50","","1.0","0.991999837875366"
"bottle","PatchCore","wide_resnet50_2","","1.0","0.991999837875366"
"bottle","PaDiM","resnet18","default","0.9976189732551575","0.9838709831237793"
"bottle","PaDiM","resnet50","100","0.99523814928894","0.9841269850730896"
"capsule","PatchCore","resnet18","","0.9816514253616333","0.9767441749572754"
"capsule","PatchCore","resnet50","","0.993617832660675","0.9818181991577148"
"capsule","PatchCore","wide_resnet50_2","","0.9932101979824829","0.9769585132598877"
"capsule","PaDiM","resnet18","default","0.8974870443344116","0.94628596734192"
"capsule","PaDiM","resnet50","100","0.9110491275787354","0.9469026327133179"
"hazelnut","PatchCore","resnet18","","0.9985713362693787","0.978723406791687"
"hazelnut","PatchCore","resnet50","","1.0","0.9928057789802551"
"hazelnut","PatchCore","wide_resnet50_2","","1.0","0.9928057789802551"
"hazelnut","PaDiM","resnet18","default","0.795371081161499","0.832981595993042"
"hazelnut","PaDiM","resnet50","100","0.7760713696479797","0.7831325531005859"
