"image_id","image_path","image_sha256","created_utc","detection.detector_name","detection.image_score","detection.threshold","detection.is_anomalous","detection.confidence","detection.score_margin","localisation.confidence","localisation.mask_area_ratio","localisation.component_count","localisation.boxes","semantic.label","semantic.confidence","semantic.method","semantic.evidence.selected_box.x","semantic.evidence.selected_box.y","semantic.evidence.selected_box.w","semantic.evidence.selected_box.h","semantic.evidence.selected_box.area_px","semantic.evidence.selected_box.area_ratio","semantic.evidence.selected_box.mean_heat","semantic.evidence.selected_box.max_heat","semantic.evidence.selected_box.x2","semantic.evidence.selected_box.y2","semantic.evidence.selected_box.aspect_ratio","semantic.evidence.edge_density","semantic.evidence.mean_saturation","semantic.evidence.mean_value","semantic.evidence.saturation_contrast","semantic.evidence.dark_contrast","semantic.evidence.rules","confidence.components.anomaly","confidence.components.localisation","confidence.components.semantic","confidence.fusion.minimum","confidence.fusion.weighted_average","confidence.fusion.preferred_strategy","confidence.fusion.preferred","risk.severity","risk.occurrence","risk.detection","risk.risk_class","risk.action","risk.mapped","risk.rpm_lookup_key","review.requires_review","review.reasons","artefacts.heatmap_overlay","artefacts.mask","artefacts.annotated","config_summary.detector","config_summary.localisation_threshold","config_summary.fusion_preferred_strategy","semantic.evidence.reason"
"bottle__test__broken_large__000","data/mvtec_anomaly_detection/bottle/test/broken_large/000.png","11a691a06a33dd78c5fcab6a822caa48c0d72f27f660e19f5abd9b5aa392b0eb","2026-06-08T16:45:03.262010+00:00","anomalib_padim","0.6981186497550983","0.5","True","0.6981186497550983","0.1981186497550983","0.8478363537788391","0.1250457763671875","1","[{'x': 95, 'y': 93, 'w': 125, 'h': 131, 'area_px': 8195, 'area_ratio': 0.1250457763671875, 'mean_heat': 0.5729696750640869, 'max_heat': 1.0, 'x2': 220, 'y2': 224, 'aspect_ratio': 1.048}]","deformation","0.779","rules_constrained_taxonomy","95.0","93.0","125.0","131.0","8195.0","0.1250457763671875","0.5729696750640869","1.0","220.0","224.0","1.048","0.11340458015267176","42.85410687022901","82.13502290076336","0.11622874025361796","4.266048165961209","['large_irregular_edge_region']","0.6981186497550983","0.8478363537788391","0.779","0.6981186497550983","0.763254298523446","minimum","0.6981186497550983","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__000_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__000_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__000_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__001","data/mvtec_anomaly_detection/bottle/test/broken_large/001.png","b5e6fd5f3f9ac5310f4fecc37f64d42eaa3326d3d3b327369d2d789752189a0f","2026-06-08T16:45:03.297376+00:00","anomalib_padim","0.8503873990733742","0.5","True","0.8503873990733742","0.35038739907337424","0.6031873939383858","0.0562286376953125","3","[{'x': 158, 'y': 144, 'w': 47, 'h': 49, 'area_px': 1701, 'area_ratio': 0.0259552001953125, 'mean_heat': 0.5643370151519775, 'max_heat': 0.7921568751335144, 'x2': 205, 'y2': 193, 'aspect_ratio': 1.0425531914893618}, {'x': 35, 'y': 113, 'w': 45, 'h': 51, 'area_px': 1413, 'area_ratio': 0.0215606689453125, 'mean_heat': 0.5958952307701111, 'max_heat': 1.0, 'x2': 80, 'y2': 164, 'aspect_ratio': 1.1333333333333333}, {'x': 109, 'y': 187, 'w': 35, 'h': 25, 'area_px': 571, 'area_ratio': 0.0087127685546875, 'mean_heat': 0.4743930399417877, 'max_heat': 0.5333333611488342, 'x2': 144, 'y2': 212, 'aspect_ratio': 1.4}]","unknown","0.50475490629673","rules_constrained_taxonomy","158.0","144.0","47.0","49.0","1701.0","0.0259552001953125","0.5643370151519775","0.7921568751335144","205.0","193.0","1.0425531914893618","0.18106817194963093","43.43595310464612","89.07338254450717","0.5667330980400891","0.0","['no_rule_matched_confidently']","0.8503873990733742","0.6031873939383858","0.50475490629673","0.50475490629673","0.6898192743387166","minimum","0.50475490629673","S3","O3","D3","Critical","Stop release or production path until authorised review is complete.","True","S3|O3|D3","True","['Fused confidence 0.505 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.', 'Critical risk class requires operator confirmation before release decision.']","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__001_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__001_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__001_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__002","data/mvtec_anomaly_detection/bottle/test/broken_large/002.png","249813c6bccb58b9de711a6b7248f4fd8ba4136364cfad2e0577769db91353c2","2026-06-08T16:45:03.334264+00:00","anomalib_padim","0.710037870331889","0.5","True","0.710037870331889","0.21003787033188903","0.7861427155406628","0.147247314453125","2","[{'x': 81, 'y': 40, 'w': 141, 'h': 130, 'area_px': 8474, 'area_ratio': 0.129302978515625, 'mean_heat': 0.5882477760314941, 'max_heat': 1.0, 'x2': 222, 'y2': 170, 'aspect_ratio': 1.0846153846153845}, {'x': 44, 'y': 83, 'w': 23, 'h': 72, 'area_px': 1176, 'area_ratio': 0.0179443359375, 'mean_heat': 0.5683039426803589, 'max_heat': 0.9411764740943909, 'x2': 67, 'y2': 155, 'aspect_ratio': 3.130434782608696}]","deformation","0.779","rules_constrained_taxonomy","81.0","40.0","141.0","130.0","8474.0","0.129302978515625","0.5882477760314941","1.0","222.0","170.0","1.0846153846153845","0.08570649208947081","45.39650845608293","75.51669394435352","1.5771209680801377","5.230972053377911","['large_irregular_edge_region']","0.710037870331889","0.7861427155406628","0.779","0.710037870331889","0.7501098563115489","minimum","0.710037870331889","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__002_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__002_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__002_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__003","data/mvtec_anomaly_detection/bottle/test/broken_large/003.png","b4797ce35dd407629e29dd199cd6e497f0a706a1ddd72ace226f30858d3199c4","2026-06-08T16:45:03.368659+00:00","anomalib_padim","0.9462339830496239","0.5","True","0.9462339830496239","0.4462339830496239","0.6001270781956809","0.1142425537109375","3","[{'x': 94, 'y': 168, 'w': 99, 'h': 56, 'area_px': 3199, 'area_ratio': 0.0488128662109375, 'mean_heat': 0.5627923011779785, 'max_heat': 0.9333333373069763, 'x2': 193, 'y2': 224, 'aspect_ratio': 1.7678571428571428}, {'x': 25, 'y': 36, 'w': 94, 'h': 98, 'area_px': 2962, 'area_ratio': 0.045196533203125, 'mean_heat': 0.4861222803592682, 'max_heat': 0.6117647290229797, 'x2': 119, 'y2': 134, 'aspect_ratio': 1.0425531914893618}, {'x': 157, 'y': 58, 'w': 37, 'h': 52, 'area_px': 1326, 'area_ratio': 0.020233154296875, 'mean_heat': 0.6130245923995972, 'max_heat': 1.0, 'x2': 194, 'y2': 110, 'aspect_ratio': 1.4054054054054055}]","unknown","0.5541666680574417","rules_constrained_taxonomy","94.0","168.0","99.0","56.0","3199.0","0.0488128662109375","0.5627923011779785","0.9333333373069763","193.0","224.0","1.7678571428571428","0.18163780663780663","39.7034632034632","93.39772727272727","1.7324063617541867","0.0","['no_rule_matched_confidently']","0.9462339830496239","0.6001270781956809","0.5541666680574417","0.5541666680574417","0.7443850828453955","minimum","0.5541666680574417","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.554 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__003_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__003_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__003_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__004","data/mvtec_anomaly_detection/bottle/test/broken_large/004.png","ede2360ddfaba9c13112b6159f5fd3342226203719ba9f067c2ff16e3d4690e0","2026-06-08T16:45:03.412454+00:00","anomalib_padim","0.9134388890889783","0.5","True","0.9134388890889783","0.4134388890889783","0.847193545103073","0.0296478271484375","1","[{'x': 46, 'y': 78, 'w': 44, 'h': 62, 'area_px': 1943, 'area_ratio': 0.0296478271484375, 'mean_heat': 0.6192525625228882, 'max_heat': 1.0, 'x2': 90, 'y2': 140, 'aspect_ratio': 1.4090909090909092}]","unknown","0.5774999999999999","rules_constrained_taxonomy","46.0","78.0","44.0","62.0","1943.0","0.0296478271484375","0.6192525625228882","1.0","90.0","140.0","1.4090909090909092","0.22250733137829912","47.856304985337246","107.13489736070382","1.9342933052610434","0.0","['no_rule_matched_confidently']","0.9134388890889783","0.847193545103073","0.5774999999999999","0.5774999999999999","0.8095805636209621","minimum","0.5774999999999999","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.577 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__004_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__004_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__004_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__005","data/mvtec_anomaly_detection/bottle/test/broken_large/005.png","cb4dfa6e11f536aa8746834d41e27f86facf51fb8c92e421af7c6dc342a32553","2026-06-08T16:45:03.451188+00:00","anomalib_padim","0.9074208618265934","0.5","True","0.9074208618265934","0.40742086182659343","0.8434976994991301","0.03167724609375","1","[{'x': 166, 'y': 75, 'w': 44, 'h': 70, 'area_px': 2076, 'area_ratio': 0.03167724609375, 'mean_heat': 0.6082209348678589, 'max_heat': 1.0, 'x2': 210, 'y2': 145, 'aspect_ratio': 1.5909090909090908}]","unknown","0.5774999999999999","rules_constrained_taxonomy","166.0","75.0","44.0","70.0","2076.0","0.03167724609375","0.6082209348678589","1.0","210.0","145.0","1.5909090909090908","0.19220779220779222","42.45616883116883","88.83733766233766","1.3103040370482262","0.0","['no_rule_matched_confidently']","0.9074208618265934","0.8434976994991301","0.5774999999999999","0.5774999999999999","0.805763697671706","minimum","0.5774999999999999","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.577 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__005_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__005_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__005_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__006","data/mvtec_anomaly_detection/bottle/test/broken_large/006.png","7e1590d94352b6a5d9463d4b378721ac80335f512d78095c7126d3eae1799fae","2026-06-08T16:45:03.488159+00:00","anomalib_padim","1.0","0.5","True","1.0","0.5","0.7345150186233045","0.0406494140625","3","[{'x': 130, 'y': 44, 'w': 65, 'h': 60, 'area_px': 2363, 'area_ratio': 0.0360565185546875, 'mean_heat': 0.689445972442627, 'max_heat': 1.0, 'x2': 195, 'y2': 104, 'aspect_ratio': 1.0833333333333333}, {'x': 46, 'y': 131, 'w': 18, 'h': 16, 'area_px': 209, 'area_ratio': 0.0031890869140625, 'mean_heat': 0.44127967953681946, 'max_heat': 0.4588235318660736, 'x2': 64, 'y2': 147, 'aspect_ratio': 1.125}, {'x': 33, 'y': 88, 'w': 10, 'h': 11, 'area_px': 92, 'area_ratio': 0.00140380859375, 'mean_heat': 0.45170506834983826, 'max_heat': 0.48235294222831726, 'x2': 43, 'y2': 99, 'aspect_ratio': 1.1}]","unknown","0.5774999999999999","rules_constrained_taxonomy","130.0","44.0","65.0","60.0","2363.0","0.0360565185546875","0.689445972442627","1.0","195.0","104.0","1.0833333333333333","0.18102564102564103","44.05923076923077","88.56589743589744","0.49279152296696793","0.0","['no_rule_matched_confidently']","1.0","0.7345150186233045","0.5774999999999999","0.5774999999999999","0.8147295055869914","minimum","0.5774999999999999","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.577 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__006_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__006_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__006_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__007","data/mvtec_anomaly_detection/bottle/test/broken_large/007.png","944292b41adbdcbc22c19027f3e0b02eae1cd9defa93bb41e4f4acb84047a3f2","2026-06-08T16:45:03.524146+00:00","anomalib_padim","0.5822266690595191","0.5","True","0.5822266690595191","0.08222666905951914","0.7366208927555893","0.1559600830078125","2","[{'x': 38, 'y': 93, 'w': 121, 'h': 132, 'area_px': 7132, 'area_ratio': 0.10882568359375, 'mean_heat': 0.623907744884491, 'max_heat': 1.0, 'x2': 159, 'y2': 225, 'aspect_ratio': 1.0909090909090908}, {'x': 169, 'y': 109, 'w': 52, 'h': 83, 'area_px': 3089, 'area_ratio': 0.0471343994140625, 'mean_heat': 0.5931001901626587, 'max_heat': 0.95686274766922, 'x2': 221, 'y2': 192, 'aspect_ratio': 1.5961538461538463}]","deformation","0.779","rules_constrained_taxonomy","38.0","93.0","121.0","132.0","7132.0","0.10882568359375","0.623907744884491","1.0","159.0","225.0","1.0909090909090908","0.10011269722013523","48.00093914350113","76.45204107187578","1.923803613810854","6.683389979613665","['large_irregular_edge_region']","0.5822266690595191","0.7366208927555893","0.779","0.5822266690595191","0.6777382689034603","minimum","0.5822266690595191","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","True","['Fused confidence 0.582 is below operational threshold 0.600.']","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__007_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__007_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__007_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__008","data/mvtec_anomaly_detection/bottle/test/broken_large/008.png","0ded17a988dd56d1027d90402e0eff6030727b541c7c263bd77287a62a49b334","2026-06-08T16:45:03.560268+00:00","anomalib_padim","0.8325879474736354","0.5","True","0.8325879474736354","0.3325879474736354","0.6921358210441013","0.0830535888671875","3","[{'x': 56, 'y': 140, 'w': 104, 'h': 79, 'area_px': 3655, 'area_ratio': 0.0557708740234375, 'mean_heat': 0.5905002951622009, 'max_heat': 1.0, 'x2': 160, 'y2': 219, 'aspect_ratio': 1.3164556962025316}, {'x': 176, 'y': 92, 'w': 39, 'h': 47, 'area_px': 1294, 'area_ratio': 0.019744873046875, 'mean_heat': 0.5743855834007263, 'max_heat': 0.7568627595901489, 'x2': 215, 'y2': 139, 'aspect_ratio': 1.205128205128205}, {'x': 174, 'y': 174, 'w': 26, 'h': 23, 'area_px': 494, 'area_ratio': 0.007537841796875, 'mean_heat': 0.5405731797218323, 'max_heat': 0.7176470756530762, 'x2': 200, 'y2': 197, 'aspect_ratio': 1.1304347826086956}]","unknown","0.5774999999999999","rules_constrained_taxonomy","56.0","140.0","104.0","79.0","3655.0","0.0557708740234375","0.5905002951622009","1.0","160.0","219.0","1.3164556962025316","0.14033592989289193","48.91321811100292","81.83921616358325","1.879621619774852","2.8615733101009653","['no_rule_matched_confidently']","0.8325879474736354","0.6921358210441013","0.5774999999999999","0.5774999999999999","0.7266803226763663","minimum","0.5774999999999999","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.577 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__008_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__008_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__008_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__009","data/mvtec_anomaly_detection/bottle/test/broken_large/009.png","eb6b625a6b86299dbf335512cb3fee553f337892023560c7a5652fcbbb63d1e0","2026-06-08T16:45:03.598089+00:00","anomalib_padim","0.5597904407943455","0.5","True","0.5597904407943455","0.05979044079434548","0.7349603876043932","0.0406036376953125","2","[{'x': 95, 'y': 44, 'w': 66, 'h': 40, 'area_px': 2096, 'area_ratio': 0.031982421875, 'mean_heat': 0.6646722555160522, 'max_heat': 1.0, 'x2': 161, 'y2': 84, 'aspect_ratio': 1.65}, {'x': 181, 'y': 143, 'w': 28, 'h': 30, 'area_px': 565, 'area_ratio': 0.0086212158203125, 'mean_heat': 0.47010931372642517, 'max_heat': 0.5254902243614197, 'x2': 209, 'y2': 173, 'aspect_ratio': 1.0714285714285714}]","unknown","0.5774999999999999","rules_constrained_taxonomy","95.0","44.0","66.0","40.0","2096.0","0.031982421875","0.6646722555160522","1.0","161.0","84.0","1.65","0.15833333333333333","44.88787878787879","82.90833333333333","3.2388633723999547","0.0","['no_rule_matched_confidently']","0.5597904407943455","0.7349603876043932","0.5774999999999999","0.5597904407943455","0.6167688146387733","minimum","0.5597904407943455","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.560 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.', 'Anomaly score is close to the decision boundary; margin=0.060.']","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__009_heatmap_overlay.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__009_mask.png","outputs/risk_padim_bottle/artefacts/bottle__test__broken_large__009_annotated.png","simple_statistical_reference","0.42","minimum",""
