"image_id","image_path","image_sha256","created_utc","detection.detector_name","detection.image_score","detection.threshold","detection.is_anomalous","detection.confidence","detection.score_margin","localisation.confidence","localisation.mask_area_ratio","localisation.component_count","localisation.boxes","semantic.label","semantic.confidence","semantic.method","semantic.evidence.selected_box.x","semantic.evidence.selected_box.y","semantic.evidence.selected_box.w","semantic.evidence.selected_box.h","semantic.evidence.selected_box.area_px","semantic.evidence.selected_box.area_ratio","semantic.evidence.selected_box.mean_heat","semantic.evidence.selected_box.max_heat","semantic.evidence.selected_box.x2","semantic.evidence.selected_box.y2","semantic.evidence.selected_box.aspect_ratio","semantic.evidence.edge_density","semantic.evidence.mean_saturation","semantic.evidence.mean_value","semantic.evidence.saturation_contrast","semantic.evidence.dark_contrast","semantic.evidence.rules","confidence.components.anomaly","confidence.components.localisation","confidence.components.semantic","confidence.fusion.minimum","confidence.fusion.weighted_average","confidence.fusion.preferred_strategy","confidence.fusion.preferred","risk.severity","risk.occurrence","risk.detection","risk.risk_class","risk.action","risk.mapped","risk.rpm_lookup_key","review.requires_review","review.reasons","artefacts.heatmap_overlay","artefacts.mask","artefacts.annotated","config_summary.detector","config_summary.localisation_threshold","config_summary.fusion_preferred_strategy","semantic.evidence.reason"
"hazelnut__test__crack__000","data/mvtec_anomaly_detection/hazelnut/test/crack/000.png","e26b54282b6b11286760905ca2880af594561b606dfa0643859d6ee6027cf8c2","2026-06-08T19:19:47.237059+00:00","anomalib_padim","0.37063400835153415","0.5","True","0.37063400835153415","0.12936599164846585","0.7535932390850393","0.1330108642578125","3","[{'x': 79, 'y': 25, 'w': 141, 'h': 116, 'area_px': 7923, 'area_ratio': 0.1208953857421875, 'mean_heat': 0.5822111368179321, 'max_heat': 1.0, 'x2': 220, 'y2': 141, 'aspect_ratio': 1.2155172413793103}, {'x': 70, 'y': 191, 'w': 27, 'h': 29, 'area_px': 536, 'area_ratio': 0.0081787109375, 'mean_heat': 0.48527219891548157, 'max_heat': 0.5764706134796143, 'x2': 97, 'y2': 220, 'aspect_ratio': 1.0740740740740742}, {'x': 0, 'y': 0, 'w': 12, 'h': 25, 'area_px': 258, 'area_ratio': 0.003936767578125, 'mean_heat': 0.49373766779899597, 'max_heat': 0.615686297416687, 'x2': 12, 'y2': 25, 'aspect_ratio': 2.0833333333333335}]","deformation","0.779","rules_constrained_taxonomy","79.0","25.0","141.0","116.0","7923.0","0.1208953857421875","0.5822111368179321","1.0","220.0","141.0","1.2155172413793103","0.20463438493519198","87.14642944485205","124.93207385668867","4.466203619721767","0.0","['large_irregular_edge_region']","0.37063400835153415","0.7535932390850393","0.779","0.37063400835153415","0.5876132754837021","minimum","0.37063400835153415","S4","O1","D3","High","Quarantine item or lot pending quality engineer review.","True","S4|O1|D3","True","['Fused confidence 0.371 is below operational threshold 0.600.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__000_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__000_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__000_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__001","data/mvtec_anomaly_detection/hazelnut/test/crack/001.png","3657bc7f6776c1792dce241e76d3bd760bd780b026bf2e4f5c1d80ac102aa487","2026-06-08T19:19:47.296325+00:00","anomalib_padim","0.5207482151979385","0.5","True","0.5207482151979385","0.020748215197938458","0.8422543013095856","0.083251953125","1","[{'x': 137, 'y': 88, 'w': 84, 'h': 112, 'area_px': 5456, 'area_ratio': 0.083251953125, 'mean_heat': 0.5605651140213013, 'max_heat': 1.0, 'x2': 221, 'y2': 200, 'aspect_ratio': 1.3333333333333333}]","deformation","0.779","rules_constrained_taxonomy","137.0","88.0","84.0","112.0","5456.0","0.083251953125","0.5605651140213013","1.0","221.0","200.0","1.3333333333333333","0.23288690476190477","85.10873724489795","117.68579931972789","5.237252869897958","0.0","['large_irregular_edge_region']","0.5207482151979385","0.8422543013095856","0.779","0.5207482151979385","0.681762987231948","minimum","0.5207482151979385","S4","O1","D3","High","Quarantine item or lot pending quality engineer review.","True","S4|O1|D3","True","['Fused confidence 0.521 is below operational threshold 0.600.', 'Anomaly score is close to the decision boundary; margin=0.021.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__001_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__001_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__001_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__002","data/mvtec_anomaly_detection/hazelnut/test/crack/002.png","c4cd667138b269fabe65fa39a6d68a85bfdf49f8a2c77f6f03c883cdc015dad4","2026-06-08T19:19:47.354518+00:00","anomalib_padim","1.0","0.5","True","1.0","0.5","0.6375119959816686","0.0132904052734375","3","[{'x': 139, 'y': 237, 'w': 35, 'h': 19, 'area_px': 565, 'area_ratio': 0.0086212158203125, 'mean_heat': 0.7111990451812744, 'max_heat': 1.0, 'x2': 174, 'y2': 256, 'aspect_ratio': 1.8421052631578947}, {'x': 207, 'y': 35, 'w': 14, 'h': 26, 'area_px': 260, 'area_ratio': 0.00396728515625, 'mean_heat': 0.4530467689037323, 'max_heat': 0.4901960790157318, 'x2': 221, 'y2': 61, 'aspect_ratio': 1.8571428571428572}, {'x': 180, 'y': 66, 'w': 7, 'h': 8, 'area_px': 46, 'area_ratio': 0.000701904296875, 'mean_heat': 0.4416027367115021, 'max_heat': 0.45490196347236633, 'x2': 187, 'y2': 74, 'aspect_ratio': 1.1428571428571428}]","unknown","0.5774999999999999","rules_constrained_taxonomy","139.0","237.0","35.0","19.0","565.0","0.0086212158203125","0.7111990451812744","1.0","174.0","256.0","1.8421052631578947","0.016541353383458645","27.049624060150375","54.26466165413534","1.450739048055869","0.0","['no_rule_matched_confidently']","1.0","0.6375119959816686","0.5774999999999999","0.5774999999999999","0.7856285987945006","minimum","0.5774999999999999","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.577 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__002_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__002_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__002_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__003","data/mvtec_anomaly_detection/hazelnut/test/crack/003.png","f7b977c75b14eb2346a8959a40e544cb06540a046a17753ed94cec36cd38b4b0","2026-06-08T19:19:47.414478+00:00","anomalib_padim","0.32704994303331275","0.5","True","0.32704994303331275","0.17295005696668725","0.7518648119170461","0.0731048583984375","3","[{'x': 58, 'y': 121, 'w': 116, 'h': 80, 'area_px': 3896, 'area_ratio': 0.0594482421875, 'mean_heat': 0.6002033352851868, 'max_heat': 1.0, 'x2': 174, 'y2': 201, 'aspect_ratio': 1.45}, {'x': 175, 'y': 0, 'w': 32, 'h': 22, 'area_px': 563, 'area_ratio': 0.0085906982421875, 'mean_heat': 0.6506668925285339, 'max_heat': 0.9372549057006836, 'x2': 207, 'y2': 22, 'aspect_ratio': 1.4545454545454546}, {'x': 216, 'y': 135, 'w': 18, 'h': 24, 'area_px': 332, 'area_ratio': 0.00506591796875, 'mean_heat': 0.48424285650253296, 'max_heat': 0.5490196347236633, 'x2': 234, 'y2': 159, 'aspect_ratio': 1.3333333333333333}]","unknown","0.5774999999999999","rules_constrained_taxonomy","58.0","121.0","116.0","80.0","3896.0","0.0594482421875","0.6002033352851868","1.0","174.0","201.0","1.45","0.16605603448275863","95.94784482758621","121.59256465517241","4.320556317485199","0.0","['no_rule_matched_confidently']","0.32704994303331275","0.7518648119170461","0.5774999999999999","0.32704994303331275","0.5171069179401044","minimum","0.32704994303331275","S3","O3","D3","Critical","Stop release or production path until authorised review is complete.","True","S3|O3|D3","True","['Fused confidence 0.327 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.', 'Critical risk class requires operator confirmation before release decision.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__003_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__003_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__003_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__004","data/mvtec_anomaly_detection/hazelnut/test/crack/004.png","15d9b0d004a7a77e6541b5d68c6fd12b45a8b12b43c017e87bd20d4fe0727bbf","2026-06-08T19:19:47.474639+00:00","anomalib_padim","0.5723135833900912","0.5","True","0.5723135833900912","0.0723135833900912","0.6645896363045278","0.051055908203125","4","[{'x': 128, 'y': 155, 'w': 59, 'h': 54, 'area_px': 2298, 'area_ratio': 0.035064697265625, 'mean_heat': 0.6446407437324524, 'max_heat': 1.0, 'x2': 187, 'y2': 209, 'aspect_ratio': 1.0925925925925926}, {'x': 67, 'y': 200, 'w': 33, 'h': 28, 'area_px': 655, 'area_ratio': 0.0099945068359375, 'mean_heat': 0.5504446029663086, 'max_heat': 0.7215686440467834, 'x2': 100, 'y2': 228, 'aspect_ratio': 1.1785714285714286}, {'x': 112, 'y': 48, 'w': 16, 'h': 17, 'area_px': 230, 'area_ratio': 0.003509521484375, 'mean_heat': 0.5154305696487427, 'max_heat': 0.615686297416687, 'x2': 128, 'y2': 65, 'aspect_ratio': 1.0625}, {'x': 106, 'y': 71, 'w': 17, 'h': 15, 'area_px': 163, 'area_ratio': 0.0024871826171875, 'mean_heat': 0.46943342685699463, 'max_heat': 0.5098039507865906, 'x2': 123, 'y2': 86, 'aspect_ratio': 1.1333333333333333}]","unknown","0.5774999999999999","rules_constrained_taxonomy","128.0","155.0","59.0","54.0","2298.0","0.035064697265625","0.6446407437324524","1.0","187.0","209.0","1.0925925925925926","0.23038292529817953","92.36629001883239","122.04268675455116","1.3971385525961892","0.0","['no_rule_matched_confidently']","0.5723135833900912","0.6645896363045278","0.5774999999999999","0.5723135833900912","0.6012930034168994","minimum","0.5723135833900912","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.572 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__004_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__004_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__004_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__005","data/mvtec_anomaly_detection/hazelnut/test/crack/005.png","3c262e7cbb0b1b81b6459d952353764f76b86e05119f3861c0076fac8f6a158b","2026-06-08T19:19:47.530156+00:00","anomalib_padim","0.43722979109629123","0.5","True","0.43722979109629123","0.06277020890370877","0.5816289057378612","0.0547637939453125","4","[{'x': 144, 'y': 153, 'w': 42, 'h': 59, 'area_px': 1666, 'area_ratio': 0.025421142578125, 'mean_heat': 0.6135160326957703, 'max_heat': 1.0, 'x2': 186, 'y2': 212, 'aspect_ratio': 1.4047619047619047}, {'x': 82, 'y': 37, 'w': 54, 'h': 51, 'area_px': 1151, 'area_ratio': 0.0175628662109375, 'mean_heat': 0.49978023767471313, 'max_heat': 0.6313725709915161, 'x2': 136, 'y2': 88, 'aspect_ratio': 1.0588235294117647}, {'x': 208, 'y': 168, 'w': 25, 'h': 38, 'area_px': 581, 'area_ratio': 0.0088653564453125, 'mean_heat': 0.5443488359451294, 'max_heat': 0.8470588326454163, 'x2': 233, 'y2': 206, 'aspect_ratio': 1.52}, {'x': 129, 'y': 130, 'w': 16, 'h': 16, 'area_px': 191, 'area_ratio': 0.0029144287109375, 'mean_heat': 0.456790953874588, 'max_heat': 0.49803921580314636, 'x2': 145, 'y2': 146, 'aspect_ratio': 1.0}]","unknown","0.5774999999999999","rules_constrained_taxonomy","144.0","153.0","42.0","59.0","1666.0","0.025421142578125","0.6135160326957703","1.0","186.0","212.0","1.4047619047619047","0.15738498789346247","94.70258272800646","110.83010492332527","4.30120341766164","0.0","['no_rule_matched_confidently']","0.43722979109629123","0.5816289057378612","0.5774999999999999","0.43722979109629123","0.5156170777146893","minimum","0.43722979109629123","S3","O3","D3","Critical","Stop release or production path until authorised review is complete.","True","S3|O3|D3","True","['Fused confidence 0.437 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.', 'Anomaly score is close to the decision boundary; margin=0.063.', 'Critical risk class requires operator confirmation before release decision.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__005_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__005_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__005_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__006","data/mvtec_anomaly_detection/hazelnut/test/crack/006.png","d99a752e32e4f0cb208bc1707341aa505a9ad106d61d3745570f8469f401491a","2026-06-08T19:19:47.586288+00:00","anomalib_padim","0.5651202774258277","0.5","True","0.5651202774258277","0.06512027742582771","0.7134173764662802","0.0810546875","4","[{'x': 139, 'y': 110, 'w': 89, 'h': 80, 'area_px': 4203, 'area_ratio': 0.0641326904296875, 'mean_heat': 0.6576226949691772, 'max_heat': 1.0, 'x2': 228, 'y2': 190, 'aspect_ratio': 1.1125}, {'x': 67, 'y': 0, 'w': 30, 'h': 19, 'area_px': 468, 'area_ratio': 0.00714111328125, 'mean_heat': 0.6309703588485718, 'max_heat': 0.8666666746139526, 'x2': 97, 'y2': 19, 'aspect_ratio': 1.5789473684210527}, {'x': 46, 'y': 95, 'w': 19, 'h': 56, 'area_px': 467, 'area_ratio': 0.0071258544921875, 'mean_heat': 0.4591594338417053, 'max_heat': 0.5215686559677124, 'x2': 65, 'y2': 151, 'aspect_ratio': 2.9473684210526314}, {'x': 0, 'y': 0, 'w': 11, 'h': 20, 'area_px': 174, 'area_ratio': 0.002655029296875, 'mean_heat': 0.4693938195705414, 'max_heat': 0.529411792755127, 'x2': 11, 'y2': 20, 'aspect_ratio': 1.8181818181818181}]","unknown","0.5774999999999999","rules_constrained_taxonomy","139.0","110.0","89.0","80.0","4203.0","0.0641326904296875","0.6576226949691772","1.0","228.0","190.0","1.1125","0.22275280898876404","84.55140449438203","120.34016853932584","3.840194176921713","0.0","['no_rule_matched_confidently']","0.5651202774258277","0.7134173764662802","0.5774999999999999","0.5651202774258277","0.6127043377815065","minimum","0.5651202774258277","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.565 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.', 'Anomaly score is close to the decision boundary; margin=0.065.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__006_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__006_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__006_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__007","data/mvtec_anomaly_detection/hazelnut/test/crack/007.png","8bb80045842147ab80609cf854df340d158d0db76770b80845e673596cfdeebf","2026-06-08T19:19:47.647967+00:00","anomalib_padim","0.6767103456018804","0.5","True","0.6767103456018804","0.17671034560188037","0.6553488696441937","0.0767822265625","3","[{'x': 142, 'y': 138, 'w': 77, 'h': 80, 'area_px': 2986, 'area_ratio': 0.045562744140625, 'mean_heat': 0.6156035661697388, 'max_heat': 1.0, 'x2': 219, 'y2': 218, 'aspect_ratio': 1.0389610389610389}, {'x': 80, 'y': 66, 'w': 49, 'h': 62, 'area_px': 1995, 'area_ratio': 0.0304412841796875, 'mean_heat': 0.5389100313186646, 'max_heat': 0.7411764860153198, 'x2': 129, 'y2': 128, 'aspect_ratio': 1.2653061224489797}, {'x': 127, 'y': 203, 'w': 12, 'h': 6, 'area_px': 51, 'area_ratio': 0.0007781982421875, 'mean_heat': 0.43467891216278076, 'max_heat': 0.4470588266849518, 'x2': 139, 'y2': 209, 'aspect_ratio': 2.0}]","unknown","0.5774999999999999","rules_constrained_taxonomy","142.0","138.0","77.0","80.0","2986.0","0.045562744140625","0.6156035661697388","1.0","219.0","218.0","1.0389610389610389","0.2582792207792208","76.12646103896104","111.49301948051948","4.147182365125914","0.0","['no_rule_matched_confidently']","0.6767103456018804","0.6553488696441937","0.5774999999999999","0.5774999999999999","0.6454993164141043","minimum","0.5774999999999999","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.577 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__007_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__007_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__007_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__008","data/mvtec_anomaly_detection/hazelnut/test/crack/008.png","482693e98866b23afed0c2ed3803d2dfa6dfdaf571ba0753558b1eb09ea75975","2026-06-08T19:19:47.704508+00:00","anomalib_padim","0.565326027754715","0.5","True","0.565326027754715","0.06532602775471497","0.8119448720359688","0.1782989501953125","2","[{'x': 63, 'y': 98, 'w': 139, 'h': 116, 'area_px': 11228, 'area_ratio': 0.17132568359375, 'mean_heat': 0.6083918213844299, 'max_heat': 1.0, 'x2': 202, 'y2': 214, 'aspect_ratio': 1.1982758620689655}, {'x': 18, 'y': 84, 'w': 25, 'h': 25, 'area_px': 457, 'area_ratio': 0.0069732666015625, 'mean_heat': 0.534105658531189, 'max_heat': 0.6549019813537598, 'x2': 43, 'y2': 109, 'aspect_ratio': 1.0}]","deformation","0.779","rules_constrained_taxonomy","63.0","98.0","139.0","116.0","11228.0","0.17132568359375","0.6083918213844299","1.0","202.0","214.0","1.1982758620689655","0.21409079632845449","90.19827586206897","127.87552716447532","3.466359928540129","0.0","['large_irregular_edge_region']","0.565326027754715","0.8119448720359688","0.779","0.565326027754715","0.6927301741004124","minimum","0.565326027754715","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","True","['Fused confidence 0.565 is below operational threshold 0.600.', 'Anomaly score is close to the decision boundary; margin=0.065.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__008_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__008_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__008_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__009","data/mvtec_anomaly_detection/hazelnut/test/crack/009.png","c30d8b0a924b2859c2283a1b90ffc74f6eb5c76b64e312fe7c45fe5e28548df4","2026-06-08T19:19:47.763752+00:00","anomalib_padim","0.6563014841967538","0.5","True","0.6563014841967538","0.15630148419675383","0.6176468197518152","0.0987701416015625","7","[{'x': 84, 'y': 31, 'w': 110, 'h': 86, 'area_px': 4630, 'area_ratio': 0.070648193359375, 'mean_heat': 0.5224621891975403, 'max_heat': 1.0, 'x2': 194, 'y2': 117, 'aspect_ratio': 1.2790697674418605}, {'x': 140, 'y': 159, 'w': 51, 'h': 23, 'area_px': 881, 'area_ratio': 0.0134429931640625, 'mean_heat': 0.5002604126930237, 'max_heat': 0.572549045085907, 'x2': 191, 'y2': 182, 'aspect_ratio': 2.217391304347826}, {'x': 197, 'y': 91, 'w': 23, 'h': 44, 'area_px': 428, 'area_ratio': 0.00653076171875, 'mean_heat': 0.45491114258766174, 'max_heat': 0.5215686559677124, 'x2': 220, 'y2': 135, 'aspect_ratio': 1.9130434782608696}, {'x': 196, 'y': 142, 'w': 13, 'h': 17, 'area_px': 176, 'area_ratio': 0.002685546875, 'mean_heat': 0.47736185789108276, 'max_heat': 0.545098066329956, 'x2': 209, 'y2': 159, 'aspect_ratio': 1.3076923076923077}, {'x': 156, 'y': 102, 'w': 13, 'h': 19, 'area_px': 160, 'area_ratio': 0.00244140625, 'mean_heat': 0.43882352113723755, 'max_heat': 0.4588235318660736, 'x2': 169, 'y2': 121, 'aspect_ratio': 1.4615384615384615}, {'x': 70, 'y': 105, 'w': 10, 'h': 15, 'area_px': 109, 'area_ratio': 0.0016632080078125, 'mean_heat': 0.44972121715545654, 'max_heat': 0.48235294222831726, 'x2': 80, 'y2': 120, 'aspect_ratio': 1.5}, {'x': 81, 'y': 147, 'w': 11, 'h': 10, 'area_px': 89, 'area_ratio': 0.0013580322265625, 'mean_heat': 0.438995361328125, 'max_heat': 0.45490196347236633, 'x2': 92, 'y2': 157, 'aspect_ratio': 1.1}]","unknown","0.5774999999999999","rules_constrained_taxonomy","84.0","31.0","110.0","86.0","4630.0","0.070648193359375","0.5224621891975403","1.0","194.0","117.0","1.2790697674418605","0.20042283298097252","83.94006342494714","117.98287526427062","3.9384294380190425","0.0","['no_rule_matched_confidently']","0.6563014841967538","0.6176468197518152","0.5774999999999999","0.5774999999999999","0.6250047138140837","minimum","0.5774999999999999","S3","O3","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O3|D2","True","['Fused confidence 0.577 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.']","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__009_heatmap_overlay.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__009_mask.png","outputs/risk_padim_hazelnut/artefacts/hazelnut__test__crack__009_annotated.png","simple_statistical_reference","0.42","minimum",""
