"image_id","image_path","image_sha256","created_utc","detection.detector_name","detection.image_score","detection.threshold","detection.is_anomalous","detection.confidence","detection.score_margin","localisation.confidence","localisation.mask_area_ratio","localisation.component_count","localisation.boxes","semantic.label","semantic.confidence","semantic.method","semantic.evidence.selected_box.x","semantic.evidence.selected_box.y","semantic.evidence.selected_box.w","semantic.evidence.selected_box.h","semantic.evidence.selected_box.area_px","semantic.evidence.selected_box.area_ratio","semantic.evidence.selected_box.mean_heat","semantic.evidence.selected_box.max_heat","semantic.evidence.selected_box.x2","semantic.evidence.selected_box.y2","semantic.evidence.selected_box.aspect_ratio","semantic.evidence.edge_density","semantic.evidence.mean_saturation","semantic.evidence.mean_value","semantic.evidence.saturation_contrast","semantic.evidence.dark_contrast","semantic.evidence.rules","confidence.components.anomaly","confidence.components.localisation","confidence.components.semantic","confidence.fusion.minimum","confidence.fusion.weighted_average","confidence.fusion.preferred_strategy","confidence.fusion.preferred","risk.severity","risk.occurrence","risk.detection","risk.risk_class","risk.action","risk.mapped","risk.rpm_lookup_key","review.requires_review","review.reasons","artefacts.heatmap_overlay","artefacts.mask","artefacts.annotated","config_summary.detector","config_summary.localisation_threshold","config_summary.fusion_preferred_strategy","semantic.evidence.reason"
"bottle__test__broken_large__000","data/mvtec_anomaly_detection/bottle/test/broken_large/000.png","11a691a06a33dd78c5fcab6a822caa48c0d72f27f660e19f5abd9b5aa392b0eb","2026-06-08T16:41:45.785634+00:00","anomalib_patchcore","0.9309709523067156","0.5","True","0.9309709523067156","0.43097095230671556","0.9005894237756729","0.2522430419921875","1","[{'x': 79, 'y': 61, 'w': 156, 'h': 185, 'area_px': 16531, 'area_ratio': 0.2522430419921875, 'mean_heat': 0.6901987195014954, 'max_heat': 1.0, 'x2': 235, 'y2': 246, 'aspect_ratio': 1.185897435897436}]","deformation","0.779","rules_constrained_taxonomy","79.0","61.0","156.0","185.0","16531.0","0.2522430419921875","0.6901987195014954","1.0","235.0","246.0","1.185897435897436","0.12817047817047816","40.30855855855856","97.65370755370755","3.428077244200118","13.063346709858337","['large_irregular_edge_region']","0.9309709523067156","0.9005894237756729","0.779","0.779","0.8838637556707238","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__000_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__000_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__000_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__001","data/mvtec_anomaly_detection/bottle/test/broken_large/001.png","b5e6fd5f3f9ac5310f4fecc37f64d42eaa3326d3d3b327369d2d789752189a0f","2026-06-08T16:41:45.835445+00:00","anomalib_patchcore","0.9078542335227239","0.5","True","0.9078542335227239","0.4078542335227239","0.8864623361825943","0.2798309326171875","1","[{'x': 28, 'y': 95, 'w': 194, 'h': 139, 'area_px': 18339, 'area_ratio': 0.2798309326171875, 'mean_heat': 0.6588051915168762, 'max_heat': 1.0, 'x2': 222, 'y2': 234, 'aspect_ratio': 1.39568345323741}]","deformation","0.779","rules_constrained_taxonomy","28.0","95.0","194.0","139.0","18339.0","0.2798309326171875","0.6588051915168762","1.0","222.0","234.0","1.39568345323741","0.14143736557146036","42.89968849662538","91.13602314025069","2.51154717558083","9.290090531024276","['large_irregular_edge_region']","0.9078542335227239","0.8864623361825943","0.779","0.779","0.869223105940004","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__001_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__001_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__001_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__002","data/mvtec_anomaly_detection/bottle/test/broken_large/002.png","249813c6bccb58b9de711a6b7248f4fd8ba4136364cfad2e0577769db91353c2","2026-06-08T16:41:45.883270+00:00","anomalib_patchcore","0.9063499606856261","0.5","True","0.9063499606856261","0.4063499606856261","0.8950651997327805","0.3960418701171875","1","[{'x': 30, 'y': 28, 'w': 207, 'h': 170, 'area_px': 25955, 'area_ratio': 0.3960418701171875, 'mean_heat': 0.6779226660728455, 'max_heat': 1.0, 'x2': 237, 'y2': 198, 'aspect_ratio': 1.2176470588235293}]","deformation","0.779","rules_constrained_taxonomy","30.0","28.0","207.0","170.0","25955.0","0.3960418701171875","0.6779226660728455","1.0","237.0","198.0","1.2176470588235293","0.12230747371412333","39.75703324808184","93.60761579994316","3.305926637348442","12.632366841457099","['large_irregular_edge_region']","0.9063499606856261","0.8950651997327805","0.779","0.779","0.8711270422283659","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__002_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__002_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__002_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__003","data/mvtec_anomaly_detection/bottle/test/broken_large/003.png","b4797ce35dd407629e29dd199cd6e497f0a706a1ddd72ace226f30858d3199c4","2026-06-08T16:41:45.931295+00:00","anomalib_patchcore","1.0","0.5","True","1.0","0.5","0.8956084007024765","0.5651397705078125","1","[{'x': 6, 'y': 19, 'w': 206, 'h': 232, 'area_px': 37037, 'area_ratio': 0.5651397705078125, 'mean_heat': 0.6791297793388367, 'max_heat': 1.0, 'x2': 212, 'y2': 251, 'aspect_ratio': 1.1262135922330097}]","deformation","0.779","rules_constrained_taxonomy","6.0","19.0","206.0","232.0","37037.0","0.5651397705078125","0.6791297793388367","1.0","212.0","251.0","1.1262135922330097","0.08304737194509541","36.41027787077335","116.117781218614","3.1439698930367967","12.34667147155298","['large_irregular_edge_region']","1.0","0.8956084007024765","0.779","0.779","0.913432520210743","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__003_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__003_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__003_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__004","data/mvtec_anomaly_detection/bottle/test/broken_large/004.png","ede2360ddfaba9c13112b6159f5fd3342226203719ba9f067c2ff16e3d4690e0","2026-06-08T16:41:45.980778+00:00","anomalib_patchcore","1.0","0.5","True","1.0","0.5","0.8781401658058166","0.1082916259765625","1","[{'x': 36, 'y': 43, 'w': 104, 'h': 114, 'area_px': 7097, 'area_ratio': 0.1082916259765625, 'mean_heat': 0.6403114795684814, 'max_heat': 1.0, 'x2': 140, 'y2': 157, 'aspect_ratio': 1.0961538461538463}]","deformation","0.779","rules_constrained_taxonomy","36.0","43.0","104.0","114.0","7097.0","0.1082916259765625","0.6403114795684814","1.0","140.0","157.0","1.0961538461538463","0.16371457489878544","49.3378036437247","87.81469298245614","1.517354925775983","2.7457557354925797","['large_irregular_edge_region']","1.0","0.8781401658058166","0.779","0.779","0.908192049741745","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__004_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__004_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__004_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__005","data/mvtec_anomaly_detection/bottle/test/broken_large/005.png","cb4dfa6e11f536aa8746834d41e27f86facf51fb8c92e421af7c6dc342a32553","2026-06-08T16:41:46.039409+00:00","anomalib_patchcore","0.7684512369077443","0.5","True","0.7684512369077443","0.2684512369077443","0.8901056343317031","0.1365966796875","1","[{'x': 128, 'y': 43, 'w': 105, 'h': 135, 'area_px': 8952, 'area_ratio': 0.1365966796875, 'mean_heat': 0.6669014096260071, 'max_heat': 1.0, 'x2': 233, 'y2': 178, 'aspect_ratio': 1.2857142857142858}]","deformation","0.779","rules_constrained_taxonomy","128.0","43.0","105.0","135.0","8952.0","0.1365966796875","0.6669014096260071","1.0","233.0","178.0","1.2857142857142858","0.1599294532627866","42.82751322751323","86.2900176366843","1.9805973498929532","8.804065883648477","['large_irregular_edge_region']","0.7684512369077443","0.8901056343317031","0.779","0.7684512369077443","0.8075847469079958","minimum","0.7684512369077443","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__005_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__005_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__005_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__006","data/mvtec_anomaly_detection/bottle/test/broken_large/006.png","7e1590d94352b6a5d9463d4b378721ac80335f512d78095c7126d3eae1799fae","2026-06-08T16:41:46.102334+00:00","anomalib_patchcore","1.0","0.5","True","1.0","0.5","0.8935705924034119","0.2962646484375","1","[{'x': 24, 'y': 17, 'w': 192, 'h': 173, 'area_px': 19416, 'area_ratio': 0.2962646484375, 'mean_heat': 0.6746013164520264, 'max_heat': 1.0, 'x2': 216, 'y2': 190, 'aspect_ratio': 1.1098265895953756}]","deformation","0.779","rules_constrained_taxonomy","24.0","17.0","192.0","173.0","19416.0","0.2962646484375","0.6746013164520264","1.0","216.0","190.0","1.1098265895953756","0.12042389210019268","40.50608140655106","92.82077914258188","3.2496711501408058","13.25314230633957","['large_irregular_edge_region']","1.0","0.8935705924034119","0.779","0.779","0.9128211777210236","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__006_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__006_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__006_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__007","data/mvtec_anomaly_detection/bottle/test/broken_large/007.png","944292b41adbdcbc22c19027f3e0b02eae1cd9defa93bb41e4f4acb84047a3f2","2026-06-08T16:41:46.149483+00:00","anomalib_patchcore","0.849604354067831","0.5","True","0.849604354067831","0.34960435406783097","0.8975262069702148","0.356903076171875","1","[{'x': 28, 'y': 65, 'w': 203, 'h': 175, 'area_px': 23390, 'area_ratio': 0.356903076171875, 'mean_heat': 0.6833915710449219, 'max_heat': 1.0, 'x2': 231, 'y2': 240, 'aspect_ratio': 1.16}]","deformation","0.779","rules_constrained_taxonomy","28.0","65.0","203.0","175.0","23390.0","0.356903076171875","0.6833915710449219","1.0","231.0","240.0","1.16","0.1435890218156228","40.519071076706545","98.59954961294862","4.029745489195491","13.340109475243779","['large_irregular_edge_region']","0.849604354067831","0.8975262069702148","0.779","0.779","0.8463298214215884","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__007_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__007_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__007_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__008","data/mvtec_anomaly_detection/bottle/test/broken_large/008.png","0ded17a988dd56d1027d90402e0eff6030727b541c7c263bd77287a62a49b334","2026-06-08T16:41:46.198629+00:00","anomalib_patchcore","0.9583463525005782","0.5","True","0.9583463525005782","0.4583463525005782","0.9003517800569534","0.297454833984375","1","[{'x': 43, 'y': 73, 'w': 193, 'h': 168, 'area_px': 19494, 'area_ratio': 0.297454833984375, 'mean_heat': 0.6896706223487854, 'max_heat': 1.0, 'x2': 236, 'y2': 241, 'aspect_ratio': 1.1488095238095237}]","deformation","0.779","rules_constrained_taxonomy","43.0","73.0","193.0","168.0","19494.0","0.297454833984375","0.6896706223487854","1.0","236.0","241.0","1.1488095238095237","0.13533185294843325","41.55335553910683","97.68470885763632","3.7066996206545753","13.441149265933475","['large_irregular_edge_region']","0.9583463525005782","0.9003517800569534","0.779","0.779","0.8961113926423462","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__008_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__008_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__008_annotated.png","simple_statistical_reference","0.42","minimum",""
"bottle__test__broken_large__009","data/mvtec_anomaly_detection/bottle/test/broken_large/009.png","eb6b625a6b86299dbf335512cb3fee553f337892023560c7a5652fcbbb63d1e0","2026-06-08T16:41:46.246234+00:00","anomalib_patchcore","0.8414727060227315","0.5","True","0.8414727060227315","0.3414727060227315","0.8795116329193116","0.18743896484375","1","[{'x': 84, 'y': 32, 'w': 147, 'h': 159, 'area_px': 12284, 'area_ratio': 0.18743896484375, 'mean_heat': 0.6433591842651367, 'max_heat': 1.0, 'x2': 231, 'y2': 191, 'aspect_ratio': 1.0816326530612246}]","deformation","0.779","rules_constrained_taxonomy","84.0","32.0","147.0","159.0","12284.0","0.18743896484375","0.6433591842651367","1.0","231.0","191.0","1.0816326530612246","0.11769991015274034","48.093398365635565","79.33953707269072","3.2314877609028727","8.441181595144513","['large_irregular_edge_region']","0.8414727060227315","0.8795116329193116","0.779","0.779","0.8372662075860227","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__009_heatmap_overlay.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__009_mask.png","outputs/risk_patchcore_bottle/artefacts/bottle__test__broken_large__009_annotated.png","simple_statistical_reference","0.42","minimum",""
