"image_id","image_path","image_sha256","created_utc","detection.detector_name","detection.image_score","detection.threshold","detection.is_anomalous","detection.confidence","detection.score_margin","localisation.confidence","localisation.mask_area_ratio","localisation.component_count","localisation.boxes","semantic.label","semantic.confidence","semantic.method","semantic.evidence.selected_box.x","semantic.evidence.selected_box.y","semantic.evidence.selected_box.w","semantic.evidence.selected_box.h","semantic.evidence.selected_box.area_px","semantic.evidence.selected_box.area_ratio","semantic.evidence.selected_box.mean_heat","semantic.evidence.selected_box.max_heat","semantic.evidence.selected_box.x2","semantic.evidence.selected_box.y2","semantic.evidence.selected_box.aspect_ratio","semantic.evidence.edge_density","semantic.evidence.mean_saturation","semantic.evidence.mean_value","semantic.evidence.saturation_contrast","semantic.evidence.dark_contrast","semantic.evidence.rules","confidence.components.anomaly","confidence.components.localisation","confidence.components.semantic","confidence.fusion.minimum","confidence.fusion.weighted_average","confidence.fusion.preferred_strategy","confidence.fusion.preferred","risk.severity","risk.occurrence","risk.detection","risk.risk_class","risk.action","risk.mapped","risk.rpm_lookup_key","review.requires_review","review.reasons","artefacts.heatmap_overlay","artefacts.mask","artefacts.annotated","config_summary.detector","config_summary.localisation_threshold","config_summary.fusion_preferred_strategy","semantic.evidence.reason"
"capsule__test__crack__000","data/mvtec_anomaly_detection/capsule/test/crack/000.png","6462a533da731a19e4df05fc1815719b94603aee341a2ac620add75ec2334ef4","2026-06-08T23:11:11.818707+00:00","anomalib_patchcore","0.38658223039518885","0.5","True","0.38658223039518885","0.11341776960481115","0.540916899924969","0.125823974609375","5","[{'x': 70, 'y': 33, 'w': 66, 'h': 67, 'area_px': 3244, 'area_ratio': 0.04949951171875, 'mean_heat': 0.6174911260604858, 'max_heat': 1.0, 'x2': 136, 'y2': 100, 'aspect_ratio': 1.0151515151515151}, {'x': 183, 'y': 132, 'w': 54, 'h': 48, 'area_px': 1824, 'area_ratio': 0.02783203125, 'mean_heat': 0.5719793438911438, 'max_heat': 0.8156862854957581, 'x2': 237, 'y2': 180, 'aspect_ratio': 1.125}, {'x': 162, 'y': 11, 'w': 84, 'h': 29, 'area_px': 1616, 'area_ratio': 0.024658203125, 'mean_heat': 0.44848817586898804, 'max_heat': 0.5137255191802979, 'x2': 246, 'y2': 40, 'aspect_ratio': 2.896551724137931}, {'x': 66, 'y': 113, 'w': 37, 'h': 57, 'area_px': 1483, 'area_ratio': 0.0226287841796875, 'mean_heat': 0.46451419591903687, 'max_heat': 0.5372549295425415, 'x2': 103, 'y2': 170, 'aspect_ratio': 1.5405405405405406}, {'x': 184, 'y': 48, 'w': 12, 'h': 8, 'area_px': 79, 'area_ratio': 0.0012054443359375, 'mean_heat': 0.4318689703941345, 'max_heat': 0.4431372582912445, 'x2': 196, 'y2': 56, 'aspect_ratio': 1.5}]","surface_defect","0.753","rules_constrained_taxonomy","70.0","33.0","66.0","67.0","3244.0","0.04949951171875","0.6174911260604858","1.0","136.0","100.0","1.0151515151515151","0.023066485753052916","10.292175486205338","177.31207598371776","3.702388134129661","0.0","['features|aspect=1.015|area=0.0495|dark_contrast=0.00|sat_contrast=3.70|edge_density=0.0231|flags=elongated:0_thin:0_dark:0_saturated:0_large:0_edge:0', 'high_heat_moderate_area_surface_defect_fallback']","0.38658223039518885","0.540916899924969","0.753","0.38658223039518885","0.5244870736553258","minimum","0.38658223039518885","S3","O2","D3","High","Quarantine item or lot pending quality engineer review.","True","S3|O2|D3","True","['Fused confidence 0.387 is below operational threshold 0.600.']","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__000_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__000_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__000_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__001","data/mvtec_anomaly_detection/capsule/test/crack/001.png","dd07c258e465acf0dc3770da851f3671fb4721df60bc460e053a95b9b21acccb","2026-06-08T23:11:11.876093+00:00","anomalib_patchcore","1.0","0.5","True","1.0","0.5","0.9162683302164079","0.1389923095703125","1","[{'x': 12, 'y': 92, 'w': 140, 'h': 89, 'area_px': 9109, 'area_ratio': 0.1389923095703125, 'mean_heat': 0.7250407338142395, 'max_heat': 1.0, 'x2': 152, 'y2': 181, 'aspect_ratio': 1.5730337078651686}]","deformation","0.779","rules_constrained_taxonomy","12.0","92.0","140.0","89.0","9109.0","0.1389923095703125","0.7250407338142395","1.0","152.0","181.0","1.5730337078651686","0.07584269662921349","38.173113964687","97.18154093097914","2.84442043599347","17.283477384039173","['features|aspect=1.573|area=0.1390|dark_contrast=17.28|sat_contrast=2.84|edge_density=0.0758|flags=elongated:0_thin:0_dark:0_saturated:0_large:1_edge:1', 'large_irregular_edge_region']","1.0","0.9162683302164079","0.779","0.779","0.9196304990649223","minimum","0.779","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__001_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__001_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__001_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__002","data/mvtec_anomaly_detection/capsule/test/crack/002.png","d7ff9e57c30e59fb1d5ec8885de04b14e6ebb20321e7a68398389dc7e28f2e2e","2026-06-08T23:11:11.930020+00:00","anomalib_patchcore","0.5821583026124868","0.5","True","0.5821583026124868","0.0821583026124868","0.8413777554035187","0.1212158203125","1","[{'x': 18, 'y': 46, 'w': 127, 'h': 106, 'area_px': 7944, 'area_ratio': 0.1212158203125, 'mean_heat': 0.5586172342300415, 'max_heat': 1.0, 'x2': 145, 'y2': 152, 'aspect_ratio': 1.1981132075471699}]","stain","0.8049999999999999","rules_constrained_taxonomy","18.0","46.0","127.0","106.0","7944.0","0.1212158203125","0.5586172342300415","1.0","145.0","152.0","1.1981132075471699","0.05823800326845937","25.437230723518052","121.90707175753974","0.3087855552851124","9.989466130801418","['features|aspect=1.198|area=0.1212|dark_contrast=9.99|sat_contrast=0.31|edge_density=0.0582|flags=elongated:0_thin:0_dark:0_saturated:0_large:1_edge:0', 'large_low_edge_region']","0.5821583026124868","0.8413777554035187","0.8049999999999999","0.5821583026124868","0.7156345627966747","minimum","0.5821583026124868","S4","O2","D2","High","Quarantine item or lot pending quality engineer review.","True","S4|O2|D2","True","['Fused confidence 0.582 is below operational threshold 0.600.']","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__002_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__002_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__002_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__003","data/mvtec_anomaly_detection/capsule/test/crack/003.png","c53205f6aba7f10cf1302155ec173c4b5fc04a85cec9d5cf32bb464443f8bab3","2026-06-08T23:11:11.980710+00:00","anomalib_patchcore","0.5302531001381379","0.5","True","0.5302531001381379","0.030253100138137867","0.5448648883941363","0.1266326904296875","4","[{'x': 94, 'y': 34, 'w': 58, 'h': 62, 'area_px': 2873, 'area_ratio': 0.0438385009765625, 'mean_heat': 0.5534176230430603, 'max_heat': 0.7529411911964417, 'x2': 152, 'y2': 96, 'aspect_ratio': 1.0689655172413792}, {'x': 195, 'y': 108, 'w': 52, 'h': 76, 'area_px': 2411, 'area_ratio': 0.0367889404296875, 'mean_heat': 0.6013419032096863, 'max_heat': 1.0, 'x2': 247, 'y2': 184, 'aspect_ratio': 1.4615384615384615}, {'x': 53, 'y': 96, 'w': 63, 'h': 64, 'area_px': 2445, 'area_ratio': 0.0373077392578125, 'mean_heat': 0.49469345808029175, 'max_heat': 0.6392157077789307, 'x2': 116, 'y2': 160, 'aspect_ratio': 1.0158730158730158}, {'x': 150, 'y': 102, 'w': 31, 'h': 26, 'area_px': 570, 'area_ratio': 0.008697509765625, 'mean_heat': 0.4540213644504547, 'max_heat': 0.501960813999176, 'x2': 181, 'y2': 128, 'aspect_ratio': 1.1923076923076923}]","unknown","0.4910294169187545","rules_constrained_taxonomy","94.0","34.0","58.0","62.0","2873.0","0.0438385009765625","0.5534176230430603","0.7529411911964417","152.0","96.0","1.0689655172413792","0.024193548387096774","13.458565072302559","191.34872080088988","5.946493832756346","0.0","['features|aspect=1.069|area=0.0438|dark_contrast=0.00|sat_contrast=5.95|edge_density=0.0242|flags=elongated:0_thin:0_dark:0_saturated:0_large:0_edge:0', 'no_rule_matched_confidently']","0.5302531001381379","0.5448648883941363","0.4910294169187545","0.4910294169187545","0.5248307158100916","minimum","0.4910294169187545","S3","O3","D3","Critical","Stop release or production path until authorised review is complete.","True","S3|O3|D3","True","['Fused confidence 0.491 is below operational threshold 0.600.', 'Semantic label is unknown or not confidently mapped to the taxonomy.', 'Anomaly score is close to the decision boundary; margin=0.030.', 'Critical risk class requires operator confirmation before release decision.']","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__003_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__003_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__003_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__004","data/mvtec_anomaly_detection/capsule/test/crack/004.png","5f9a15491b9b942276e72deeaf4f89a5fe9be28a797177eaf6e09cceaed83cce","2026-06-08T23:11:12.032002+00:00","anomalib_patchcore","0.8882961115665785","0.5","True","0.8882961115665785","0.3882961115665785","0.6668775603290968","0.113372802734375","3","[{'x': 109, 'y': 46, 'w': 92, 'h': 81, 'area_px': 4123, 'area_ratio': 0.0629119873046875, 'mean_heat': 0.5959632992744446, 'max_heat': 1.0, 'x2': 201, 'y2': 127, 'aspect_ratio': 1.1358024691358024}, {'x': 77, 'y': 175, 'w': 49, 'h': 47, 'area_px': 1821, 'area_ratio': 0.0277862548828125, 'mean_heat': 0.5787878632545471, 'max_heat': 0.8156862854957581, 'x2': 126, 'y2': 222, 'aspect_ratio': 1.0425531914893618}, {'x': 221, 'y': 159, 'w': 35, 'h': 50, 'area_px': 1486, 'area_ratio': 0.022674560546875, 'mean_heat': 0.6343678832054138, 'max_heat': 0.9098039269447327, 'x2': 256, 'y2': 209, 'aspect_ratio': 1.4285714285714286}]","surface_defect","0.753","rules_constrained_taxonomy","109.0","46.0","92.0","81.0","4123.0","0.0629119873046875","0.5959632992744446","1.0","201.0","127.0","1.1358024691358024","0.03972088030059045","49.30716586151369","173.79240472356415","1.5424655942360985","0.0","['features|aspect=1.136|area=0.0629|dark_contrast=0.00|sat_contrast=1.54|edge_density=0.0397|flags=elongated:0_thin:0_dark:0_saturated:0_large:0_edge:0', 'high_heat_moderate_area_surface_defect_fallback']","0.8882961115665785","0.6668775603290968","0.753","0.6668775603290968","0.7880465183036893","minimum","0.6668775603290968","S3","O2","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O2|D2","False","[]","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__004_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__004_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__004_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__005","data/mvtec_anomaly_detection/capsule/test/crack/005.png","0b4b50fbd5d7a91d41ca2b30ecafc34a2877f3543456f3b9c0fafadc075fa9a7","2026-06-08T23:11:12.085314+00:00","anomalib_patchcore","0.3603347225881051","0.5","True","0.3603347225881051","0.13966527741189488","0.7353711096270055","0.102874755859375","3","[{'x': 0, 'y': 82, 'w': 156, 'h': 71, 'area_px': 6057, 'area_ratio': 0.0924224853515625, 'mean_heat': 0.5809657573699951, 'max_heat': 1.0, 'x2': 156, 'y2': 153, 'aspect_ratio': 2.1971830985915495}, {'x': 206, 'y': 110, 'w': 27, 'h': 37, 'area_px': 466, 'area_ratio': 0.007110595703125, 'mean_heat': 0.43992260098457336, 'max_heat': 0.46666666865348816, 'x2': 233, 'y2': 147, 'aspect_ratio': 1.3703703703703705}, {'x': 31, 'y': 32, 'w': 18, 'h': 16, 'area_px': 219, 'area_ratio': 0.0033416748046875, 'mean_heat': 0.4433879852294922, 'max_heat': 0.46666666865348816, 'x2': 49, 'y2': 48, 'aspect_ratio': 1.125}]","stain","0.8049999999999999","rules_constrained_taxonomy","0.0","82.0","156.0","71.0","6057.0","0.0924224853515625","0.5809657573699951","1.0","156.0","153.0","2.1971830985915495","0.03539183820873962","37.03132899963886","89.85617551462622","0.018923616964343637","11.40798204074244","['features|aspect=2.197|area=0.0924|dark_contrast=11.41|sat_contrast=0.02|edge_density=0.0354|flags=elongated:0_thin:0_dark:0_saturated:0_large:1_edge:0', 'large_low_edge_region']","0.3603347225881051","0.7353711096270055","0.8049999999999999","0.3603347225881051","0.584011958052749","minimum","0.3603347225881051","S3","O2","D3","High","Quarantine item or lot pending quality engineer review.","True","S3|O2|D3","True","['Fused confidence 0.360 is below operational threshold 0.600.']","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__005_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__005_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__005_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__006","data/mvtec_anomaly_detection/capsule/test/crack/006.png","d63295f7073046911ab3d84d5d38ca12adbb0de33951a05d03578da9e0163904","2026-06-08T23:11:12.145902+00:00","anomalib_patchcore","0.6223164337327605","0.5","True","0.6223164337327605","0.12231643373276047","0.8760947167873383","0.0482635498046875","1","[{'x': 144, 'y': 133, 'w': 77, 'h': 55, 'area_px': 3163, 'area_ratio': 0.0482635498046875, 'mean_heat': 0.657622218132019, 'max_heat': 1.0, 'x2': 221, 'y2': 188, 'aspect_ratio': 1.4}]","surface_defect","0.753","rules_constrained_taxonomy","144.0","133.0","77.0","55.0","3163.0","0.0482635498046875","0.657622218132019","1.0","221.0","188.0","1.4","0.07981109799291618","78.52727272727273","141.51877213695394","4.411719191001339","8.741564073859337","['features|aspect=1.400|area=0.0483|dark_contrast=8.74|sat_contrast=4.41|edge_density=0.0798|flags=elongated:0_thin:0_dark:0_saturated:0_large:0_edge:1', 'high_heat_moderate_area_surface_defect_fallback']","0.6223164337327605","0.8760947167873383","0.753","0.6223164337327605","0.7311208102159437","minimum","0.6223164337327605","S3","O2","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O2|D2","False","[]","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__006_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__006_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__006_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__007","data/mvtec_anomaly_detection/capsule/test/crack/007.png","de3bf8155e2b6e153688ef71bbb5bdcc0f390e20e48dd60aa36cedad5b37717d","2026-06-08T23:11:12.197132+00:00","anomalib_patchcore","0.7259515699598901","0.5","True","0.7259515699598901","0.22595156995989008","0.6186571868753765","0.0886993408203125","3","[{'x': 194, 'y': 116, 'w': 62, 'h': 61, 'area_px': 2841, 'area_ratio': 0.0433502197265625, 'mean_heat': 0.6261216998100281, 'max_heat': 1.0, 'x2': 256, 'y2': 177, 'aspect_ratio': 1.0163934426229508}, {'x': 141, 'y': 214, 'w': 53, 'h': 42, 'area_px': 1705, 'area_ratio': 0.0260162353515625, 'mean_heat': 0.5443827509880066, 'max_heat': 0.7215686440467834, 'x2': 194, 'y2': 256, 'aspect_ratio': 1.2619047619047619}, {'x': 64, 'y': 117, 'w': 54, 'h': 36, 'area_px': 1267, 'area_ratio': 0.0193328857421875, 'mean_heat': 0.4715662896633148, 'max_heat': 0.5529412031173706, 'x2': 118, 'y2': 153, 'aspect_ratio': 1.5}]","surface_defect","0.753","rules_constrained_taxonomy","194.0","116.0","62.0","61.0","2841.0","0.0433502197265625","0.6261216998100281","1.0","256.0","177.0","1.0163934426229508","0.05790586991010047","73.28609201480698","147.70359598096246","1.4315465602615234","4.250207358555173","['features|aspect=1.016|area=0.0434|dark_contrast=4.25|sat_contrast=1.43|edge_density=0.0579|flags=elongated:0_thin:0_dark:0_saturated:0_large:0_edge:0', 'high_heat_moderate_area_surface_defect_fallback']","0.7259515699598901","0.6186571868753765","0.753","0.6186571868753765","0.7005253625445635","minimum","0.6186571868753765","S3","O2","D2","High","Quarantine item or lot pending quality engineer review.","True","S3|O2|D2","False","[]","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__007_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__007_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__007_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__008","data/mvtec_anomaly_detection/capsule/test/crack/008.png","b53477da88bffb2f380a5616b50020f98db5fc1040ff26bbe3d5e25490f5e2e1","2026-06-08T23:11:12.248380+00:00","anomalib_patchcore","0.3481923766917971","0.5","True","0.3481923766917971","0.1518076233082029","0.6613783541402048","0.1714630126953125","4","[{'x': 43, 'y': 91, 'w': 185, 'h': 73, 'area_px': 7853, 'area_ratio': 0.1198272705078125, 'mean_heat': 0.5655063986778259, 'max_heat': 1.0, 'x2': 228, 'y2': 164, 'aspect_ratio': 2.5342465753424657}, {'x': 26, 'y': 15, 'w': 50, 'h': 45, 'area_px': 1536, 'area_ratio': 0.0234375, 'mean_heat': 0.49794474244117737, 'max_heat': 0.6078431606292725, 'x2': 76, 'y2': 60, 'aspect_ratio': 1.1111111111111112}, {'x': 192, 'y': 206, 'w': 50, 'h': 36, 'area_px': 1465, 'area_ratio': 0.0223541259765625, 'mean_heat': 0.5116857290267944, 'max_heat': 0.6274510025978088, 'x2': 242, 'y2': 242, 'aspect_ratio': 1.3888888888888888}, {'x': 67, 'y': 194, 'w': 22, 'h': 22, 'area_px': 383, 'area_ratio': 0.0058441162109375, 'mean_heat': 0.4668304920196533, 'max_heat': 0.5215686559677124, 'x2': 89, 'y2': 216, 'aspect_ratio': 1.0}]","deformation","0.779","rules_constrained_taxonomy","43.0","91.0","185.0","73.0","7853.0","0.1198272705078125","0.5655063986778259","1.0","228.0","164.0","2.5342465753424657","0.06619770455386893","77.70225842280637","92.57882265827472","11.651389173547045","10.811137652530803","['features|aspect=2.534|area=0.1198|dark_contrast=10.81|sat_contrast=11.65|edge_density=0.0662|flags=elongated:0_thin:0_dark:0_saturated:0_large:1_edge:1', 'large_irregular_edge_region']","0.3481923766917971","0.6613783541402048","0.779","0.3481923766917971","0.5498500757533701","minimum","0.3481923766917971","S4","O1","D3","High","Quarantine item or lot pending quality engineer review.","True","S4|O1|D3","True","['Fused confidence 0.348 is below operational threshold 0.600.']","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__008_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__008_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__008_annotated.png","simple_statistical_reference","0.42","minimum",""
"capsule__test__crack__009","data/mvtec_anomaly_detection/capsule/test/crack/009.png","782833236292a0ea278d42fd87265dae63be3aed5f8649e76dfa95a5616fd755","2026-06-08T23:11:12.297200+00:00","anomalib_patchcore","0.4099807015580857","0.5","True","0.4099807015580857","0.09001929844191431","0.7422229953269361","0.1187286376953125","3","[{'x': 57, 'y': 80, 'w': 157, 'h': 63, 'area_px': 6948, 'area_ratio': 0.10601806640625, 'mean_heat': 0.6166080236434937, 'max_heat': 1.0, 'x2': 214, 'y2': 143, 'aspect_ratio': 2.492063492063492}, {'x': 207, 'y': 203, 'w': 34, 'h': 30, 'area_px': 767, 'area_ratio': 0.0117034912109375, 'mean_heat': 0.47333383560180664, 'max_heat': 0.5490196347236633, 'x2': 241, 'y2': 233, 'aspect_ratio': 1.1333333333333333}, {'x': 81, 'y': 199, 'w': 8, 'h': 10, 'area_px': 66, 'area_ratio': 0.001007080078125, 'mean_heat': 0.43273913860321045, 'max_heat': 0.4431372582912445, 'x2': 89, 'y2': 209, 'aspect_ratio': 1.25}]","deformation","0.779","rules_constrained_taxonomy","57.0","80.0","157.0","63.0","6948.0","0.10601806640625","0.6166080236434937","1.0","214.0","143.0","2.492063492063492","0.09230613689212415","65.57112526539278","114.23182691335558","1.5166875687512373","4.309989139911423","['features|aspect=2.492|area=0.1060|dark_contrast=4.31|sat_contrast=1.52|edge_density=0.0923|flags=elongated:0_thin:0_dark:0_saturated:0_large:1_edge:1', 'large_irregular_edge_region']","0.4099807015580857","0.7422229953269361","0.779","0.4099807015580857","0.6019082142992194","minimum","0.4099807015580857","S4","O1","D3","High","Quarantine item or lot pending quality engineer review.","True","S4|O1|D3","True","['Fused confidence 0.410 is below operational threshold 0.600.']","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__009_heatmap_overlay.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__009_mask.png","outputs/risk_patchcore_capsule_semantic_v3/artefacts/capsule__test__crack__009_annotated.png","simple_statistical_reference","0.42","minimum",""
