"image_id","image_path","image_sha256","created_utc","detection.detector_name","detection.image_score","detection.threshold","detection.is_anomalous","detection.confidence","detection.score_margin","localisation.confidence","localisation.mask_area_ratio","localisation.component_count","localisation.boxes","semantic.label","semantic.confidence","semantic.method","semantic.evidence.selected_box.x","semantic.evidence.selected_box.y","semantic.evidence.selected_box.w","semantic.evidence.selected_box.h","semantic.evidence.selected_box.area_px","semantic.evidence.selected_box.area_ratio","semantic.evidence.selected_box.mean_heat","semantic.evidence.selected_box.max_heat","semantic.evidence.selected_box.x2","semantic.evidence.selected_box.y2","semantic.evidence.selected_box.aspect_ratio","semantic.evidence.edge_density","semantic.evidence.mean_saturation","semantic.evidence.mean_value","semantic.evidence.saturation_contrast","semantic.evidence.dark_contrast","semantic.evidence.rules","confidence.components.anomaly","confidence.components.localisation","confidence.components.semantic","confidence.fusion.minimum","confidence.fusion.weighted_average","confidence.fusion.preferred_strategy","confidence.fusion.preferred","risk.severity","risk.occurrence","risk.detection","risk.risk_class","risk.action","risk.mapped","risk.rpm_lookup_key","review.requires_review","review.reasons","artefacts.heatmap_overlay","artefacts.mask","artefacts.annotated","config_summary.detector","config_summary.localisation_threshold","config_summary.fusion_preferred_strategy","semantic.evidence.reason"
"hazelnut__test__crack__000","data/mvtec_anomaly_detection/hazelnut/test/crack/000.png","e26b54282b6b11286760905ca2880af594561b606dfa0643859d6ee6027cf8c2","2026-06-08T18:55:15.767681+00:00","anomalib_patchcore","0.6872148215086764","0.5","True","0.6872148215086764","0.1872148215086764","0.880795847773552","0.2756805419921875","1","[{'x': 68, 'y': 39, 'w': 147, 'h': 183, 'area_px': 18067, 'area_ratio': 0.2756805419921875, 'mean_heat': 0.6462129950523376, 'max_heat': 1.0, 'x2': 215, 'y2': 222, 'aspect_ratio': 1.2448979591836735}]","deformation","0.779","rules_constrained_taxonomy","68.0","39.0","147.0","183.0","18067.0","0.2756805419921875","0.6462129950523376","1.0","215.0","222.0","1.2448979591836735","0.1726701609605591","98.10363926991562","127.48206386379688","9.591199771811603","0.0","['large_irregular_edge_region']","0.6872148215086764","0.880795847773552","0.779","0.6872148215086764","0.76823542401097","minimum","0.6872148215086764","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__000_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__000_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__000_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__001","data/mvtec_anomaly_detection/hazelnut/test/crack/001.png","3657bc7f6776c1792dce241e76d3bd760bd780b026bf2e4f5c1d80ac102aa487","2026-06-08T18:55:15.825572+00:00","anomalib_patchcore","0.6210483275488806","0.5","True","0.6210483275488806","0.12104832754888062","0.889612832069397","0.2657928466796875","1","[{'x': 61, 'y': 55, 'w': 163, 'h': 157, 'area_px': 17419, 'area_ratio': 0.2657928466796875, 'mean_heat': 0.6658062934875488, 'max_heat': 1.0, 'x2': 224, 'y2': 212, 'aspect_ratio': 1.0382165605095541}]","deformation","0.779","rules_constrained_taxonomy","61.0","55.0","163.0","157.0","17419.0","0.2657928466796875","0.6658062934875488","1.0","224.0","212.0","1.0382165605095541","0.20890156695713336","87.0157868000469","111.11375092806064","8.405104460782525","0.0","['large_irregular_edge_region']","0.6210483275488806","0.889612832069397","0.779","0.6210483275488806","0.7411055970178153","minimum","0.6210483275488806","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__001_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__001_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__001_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__002","data/mvtec_anomaly_detection/hazelnut/test/crack/002.png","c4cd667138b269fabe65fa39a6d68a85bfdf49f8a2c77f6f03c883cdc015dad4","2026-06-08T18:55:15.887748+00:00","anomalib_patchcore","0.4797466704714629","0.5","True","0.4797466704714629","0.02025332952853709","0.8543443584442139","0.3348541259765625","1","[{'x': 62, 'y': 32, 'w': 159, 'h': 224, 'area_px': 21945, 'area_ratio': 0.3348541259765625, 'mean_heat': 0.5874319076538086, 'max_heat': 1.0, 'x2': 221, 'y2': 256, 'aspect_ratio': 1.4088050314465408}]","deformation","0.779","rules_constrained_taxonomy","62.0","32.0","159.0","224.0","21945.0","0.3348541259765625","0.5874319076538086","1.0","221.0","256.0","1.4088050314465408","0.15245956873315364","81.10551437556154","103.84268306379155","4.51058826718716","0.0","['large_irregular_edge_region']","0.4797466704714629","0.8543443584442139","0.779","0.4797466704714629","0.6669393092454224","minimum","0.4797466704714629","S4","O1","D3","High","Quarantine item or lot pending quality engineer review.","True","S4|O1|D3","True","['Fused confidence 0.480 is below operational threshold 0.600.', 'Anomaly score is close to the decision boundary; margin=0.020.']","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__002_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__002_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__002_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__003","data/mvtec_anomaly_detection/hazelnut/test/crack/003.png","f7b977c75b14eb2346a8959a40e544cb06540a046a17753ed94cec36cd38b4b0","2026-06-08T18:55:15.943325+00:00","anomalib_patchcore","0.6406997572335363","0.5","True","0.6406997572335363","0.14069975723353634","0.8704988741874695","0.252288818359375","1","[{'x': 57, 'y': 72, 'w': 163, 'h': 134, 'area_px': 16534, 'area_ratio': 0.252288818359375, 'mean_heat': 0.62333083152771, 'max_heat': 1.0, 'x2': 220, 'y2': 206, 'aspect_ratio': 1.2164179104477613}]","deformation","0.779","rules_constrained_taxonomy","57.0","72.0","163.0","134.0","16534.0","0.252288818359375","0.62333083152771","1.0","220.0","206.0","1.2164179104477613","0.16243933705704605","90.07714495009614","115.84630528339896","6.074016458476024","0.0","['large_irregular_edge_region']","0.6406997572335363","0.8704988741874695","0.779","0.6406997572335363","0.7442145530113322","minimum","0.6406997572335363","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__003_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__003_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__003_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__004","data/mvtec_anomaly_detection/hazelnut/test/crack/004.png","15d9b0d004a7a77e6541b5d68c6fd12b45a8b12b43c017e87bd20d4fe0727bbf","2026-06-08T18:55:16.002377+00:00","anomalib_patchcore","0.6798001855669378","0.5","True","0.6798001855669378","0.17980018556693778","0.8466976755857467","0.2123565673828125","1","[{'x': 65, 'y': 46, 'w': 143, 'h': 180, 'area_px': 13917, 'area_ratio': 0.2123565673828125, 'mean_heat': 0.5704392790794373, 'max_heat': 1.0, 'x2': 208, 'y2': 226, 'aspect_ratio': 1.2587412587412588}]","deformation","0.779","rules_constrained_taxonomy","65.0","46.0","143.0","180.0","13917.0","0.2123565673828125","0.5704392790794373","1.0","208.0","226.0","1.2587412587412588","0.15085470085470085","103.57622377622377","121.57315462315462","8.1239711770709","0.0","['large_irregular_edge_region']","0.6798001855669378","0.8466976755857467","0.779","0.6798001855669378","0.754669386180846","minimum","0.6798001855669378","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__004_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__004_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__004_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__005","data/mvtec_anomaly_detection/hazelnut/test/crack/005.png","3c262e7cbb0b1b81b6459d952353764f76b86e05119f3861c0076fac8f6a158b","2026-06-08T18:55:16.057256+00:00","anomalib_patchcore","0.591630876207429","0.5","True","0.591630876207429","0.09163087620742905","0.8793975853919982","0.262359619140625","1","[{'x': 51, 'y': 47, 'w': 163, 'h': 172, 'area_px': 17194, 'area_ratio': 0.262359619140625, 'mean_heat': 0.6431057453155518, 'max_heat': 1.0, 'x2': 214, 'y2': 219, 'aspect_ratio': 1.0552147239263803}]","deformation","0.779","rules_constrained_taxonomy","51.0","47.0","163.0","172.0","17194.0","0.262359619140625","0.6431057453155518","1.0","214.0","219.0","1.0552147239263803","0.11017976886859751","93.17038807247825","110.65066343272935","9.141236759034769","0.0","['large_irregular_edge_region']","0.591630876207429","0.8793975853919982","0.779","0.591630876207429","0.7248031699109425","minimum","0.591630876207429","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","True","['Fused confidence 0.592 is below operational threshold 0.600.']","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__005_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__005_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__005_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__006","data/mvtec_anomaly_detection/hazelnut/test/crack/006.png","d99a752e32e4f0cb208bc1707341aa505a9ad106d61d3745570f8469f401491a","2026-06-08T18:55:16.114073+00:00","anomalib_patchcore","0.6469040597126708","0.5","True","0.6469040597126708","0.14690405971267084","0.7068551099522763","0.2279510498046875","2","[{'x': 111, 'y': 89, 'w': 116, 'h': 126, 'area_px': 9431, 'area_ratio': 0.1439056396484375, 'mean_heat': 0.6644532680511475, 'max_heat': 1.0, 'x2': 227, 'y2': 215, 'aspect_ratio': 1.0862068965517242}, {'x': 41, 'y': 63, 'w': 67, 'h': 121, 'area_px': 5508, 'area_ratio': 0.08404541015625, 'mean_heat': 0.5236732363700867, 'max_heat': 0.6549019813537598, 'x2': 108, 'y2': 184, 'aspect_ratio': 1.8059701492537314}]","deformation","0.779","rules_constrained_taxonomy","111.0","89.0","116.0","126.0","9431.0","0.1439056396484375","0.6644532680511475","1.0","227.0","215.0","1.0862068965517242","0.18411330049261085","85.94081828133552","115.56102900930487","4.430468302675692","0.0","['large_irregular_edge_region']","0.6469040597126708","0.7068551099522763","0.779","0.6469040597126708","0.6979133598563847","minimum","0.6469040597126708","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__006_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__006_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__006_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__007","data/mvtec_anomaly_detection/hazelnut/test/crack/007.png","8bb80045842147ab80609cf854df340d158d0db76770b80845e673596cfdeebf","2026-06-08T18:55:16.174635+00:00","anomalib_patchcore","0.5972564176843537","0.5","True","0.5972564176843537","0.09725641768435367","0.9220240288972854","0.387115478515625","1","[{'x': 44, 'y': 46, 'w': 180, 'h': 187, 'area_px': 25370, 'area_ratio': 0.387115478515625, 'mean_heat': 0.737831175327301, 'max_heat': 1.0, 'x2': 224, 'y2': 233, 'aspect_ratio': 1.038888888888889}]","deformation","0.779","rules_constrained_taxonomy","44.0","46.0","180.0","187.0","25370.0","0.387115478515625","0.737831175327301","1.0","224.0","233.0","1.038888888888889","0.23018419489007724","74.97819370172311","108.4961972667855","5.787734266717578","0.0","['large_irregular_edge_region']","0.5972564176843537","0.9220240288972854","0.779","0.5972564176843537","0.7401225966271447","minimum","0.5972564176843537","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","True","['Fused confidence 0.597 is below operational threshold 0.600.']","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__007_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__007_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__007_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__008","data/mvtec_anomaly_detection/hazelnut/test/crack/008.png","482693e98866b23afed0c2ed3803d2dfa6dfdaf571ba0753558b1eb09ea75975","2026-06-08T18:55:16.247303+00:00","anomalib_patchcore","0.7517980542418523","0.5","True","0.7517980542418523","0.2517980542418523","0.8949818634986877","0.2979278564453125","1","[{'x': 52, 'y': 55, 'w': 158, 'h': 169, 'area_px': 19525, 'area_ratio': 0.2979278564453125, 'mean_heat': 0.6777374744415283, 'max_heat': 1.0, 'x2': 210, 'y2': 224, 'aspect_ratio': 1.0696202531645569}]","deformation","0.779","rules_constrained_taxonomy","52.0","55.0","158.0","169.0","19525.0","0.2979278564453125","0.6777374744415283","1.0","210.0","224.0","1.0696202531645569","0.17317054902254514","88.72178113998952","120.81447082615534","7.734269490408906","0.0","['large_irregular_edge_region']","0.7517980542418523","0.8949818634986877","0.779","0.7517980542418523","0.8015536834584398","minimum","0.7517980542418523","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","False","[]","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__008_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__008_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__008_annotated.png","simple_statistical_reference","0.42","minimum",""
"hazelnut__test__crack__009","data/mvtec_anomaly_detection/hazelnut/test/crack/009.png","c30d8b0a924b2859c2283a1b90ffc74f6eb5c76b64e312fe7c45fe5e28548df4","2026-06-08T18:55:16.318377+00:00","anomalib_patchcore","0.5816782746844563","0.5","True","0.5816782746844563","0.08167827468445632","0.9280163520574569","0.38330078125","1","[{'x': 42, 'y': 31, 'w': 187, 'h': 177, 'area_px': 25120, 'area_ratio': 0.38330078125, 'mean_heat': 0.751147449016571, 'max_heat': 1.0, 'x2': 229, 'y2': 208, 'aspect_ratio': 1.0564971751412429}]","deformation","0.779","rules_constrained_taxonomy","42.0","31.0","187.0","177.0","25120.0","0.38330078125","0.751147449016571","1.0","229.0","208.0","1.0564971751412429","0.18187860660442914","73.98963714915858","103.13372005196531","6.107940321776567","0.0","['large_irregular_edge_region']","0.5816782746844563","0.9280163520574569","0.779","0.5816782746844563","0.7349101292252425","minimum","0.5816782746844563","S4","O1","D2","Medium","Reinspect item and consider rework if defect is confirmed.","True","S4|O1|D2","True","['Fused confidence 0.582 is below operational threshold 0.600.']","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__009_heatmap_overlay.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__009_mask.png","outputs/risk_patchcore_hazelnut/artefacts/hazelnut__test__crack__009_annotated.png","simple_statistical_reference","0.42","minimum",""
